Result Number;Titolo;Descrizione;Immagine;Data;Link
115;PERSONALE DI LORENZO BRACCIANTE;Il Colore e le Incisioni Ottocentesche - Incisioni del XIX secolo acquarellate da Lorenzo Bracciante. Dal 1 al 6 Giugno 2013 - Galleria di Villa Niscemi (p.zza dei Quartieri,2).;http://www.comune.palermo.it/img/news/bracciante_01.jpg;01-GIU-13;http://www.comune.palermo.it/noticext.php?id=1936
116;CICLOAMNESTY 2013;CICLOAMNESTY passeggiata ciclistica a sostegno delle campagne in tutela dei diritti umani di Amnesty International - domenica 26 maggio 2013, appuntamento ore 9.30 Villa Airoldi (p.zza Leoni,9) partenza ore 10.30.;http://www.comune.palermo.it/img/news/cicloamnesty_01.jpg;26-MAG-13;http://www.comune.palermo.it/noticext.php?id=1871
117;HAKUNA SHIDA;"Associazione "" Santa Chiara"" in collaborazione con la Compagnia Teatrale "" Ssà Benerica"" presenta "" Hakuna Shida"" - Teatro Savio sabato 25/05 ore 21.00 - domenica 26/05 ore 18.00. L'evento ha avuto il Patrocinio del Comune di Palermo.";http://www.comune.palermo.it/img/news/hakuna_01.jpg;25-MAG-13;http://www.comune.palermo.it/noticext.php?id=1835
118;TEMPUS VERNUM;Nell’elegante cornice della galleria di Villa Niscemi in Piazza dei Quartieri, 2 a Palermo il giorno 24 maggio 2013, alle ore 18.00, sarà inaugurata la mostra Tempus vernum di Emiliano Manari a cura di Sarah Palermo.;http://www.comune.palermo.it/img/news/manari_01.jpg;24-MAG-13;http://www.comune.palermo.it/noticext.php?id=1905
119;MOSTRA TONDELLI;"""Pier Vittorio Tondelli: cronache degli anni ottanta"" a cura di Silvano Baldi. La mostra fa entrare il visitatore nel mondo di Tondelli, attraverso immagini, letture musicate, video e oggetti. Dal 24 Maggio all'8 Giugno Palazzo Ziino, Via Dante 53.";http://www.comune.palermo.it/img/news/palazzoziino_01.png;24-MAG-13;http://www.comune.palermo.it/noticext.php?id=1962
120;FONDI JEREMIE SICILIA FESR 2007/2013;"Seminario tecnico ""Palermo Comunica Fondi JEREMIE Sicilia FESR 2007/2013"" Strumento finanziario destinato al sostegno delle PMI che avrà luogo il 21 Maggio 2013 alle ore 09.30 presso Sala delle Carrozze di Villa Niscemi.";http://www.comune.palermo.it/img/news/villa_niscemi_01.png;21-MAG-13;http://www.comune.palermo.it/noticext.php?id=1883
121;PALERMO APRE LE PORTE;"Evento conclusivo della manifestazione "" Palermo apre le porte. La scuola adotta la Città"" edizione 2013 ""Sicilsveziando"" - Domenica 19/05/2013 ore 17.00 - Parco Villa Pantelleria, vicolo Pantelleria,10.";http://www.comune.palermo.it/img/news/la_scuola_105.png;19-MAG-13;http://www.comune.palermo.it/noticext.php?id=1897
122;PALERMO APRE LE PORTE;"Esibizione Musicale ""Ensamble Cavour"" - Domenica 19/05/2013 ore 11.00 - Villa Napoli e Piccola Cuba.";http://www.comune.palermo.it/img/news/la_scuola_105.png;19-MAG-13;http://www.comune.palermo.it/noticext.php?id=1895
123;PALERMO APRE LE PORTE;"Associazione Culturale ""Congo Square"" Forme d'Arte Jam Session con Fabrizio Pezzino - Domenica 19/05/2013 ore 17.00-18.30 - Via Goethe, 28.";http://www.comune.palermo.it/img/news/la_scuola_105.png;19-MAG-13;http://www.comune.palermo.it/noticext.php?id=1896
124;SOLAR DAY-SCEGLI IL SOLE;"Solar day - Campagna d'informazione "" Scegli il sole"" tecnologie rinnovabili, giochi solari, dibattiti, focus tematici, ecosportelli - 18 Maggio Piazza Mondello. L'evento ha avuto il Patrocinio del Comune di Palermo.";http://www.comune.palermo.it/img/news/solar-day-.png;18-MAG-13;http://www.comune.palermo.it/noticext.php?id=1840
